File: CPM_Data
This file contains information on the least squares
 estimation of the coregistration parameters.
This info is used in the plotcmp script.
There are 10 columns with:
Window number, position L, position P, 
 offsetL (observation), offsetP (observation), correlation,
 estimated errorL, errorP, w-test statistics for L, P.
win   posL  posP      offL      offP  corr      eL     eP  wtstL  wtstP
 279  4568  3422    -50.19    -34.12   0.41  -0.46  -0.12  14.62   3.77
 280  4568  3533    -50.44    -34.81   0.45  -0.64  -0.68  23.49  25.11
 282  4568  3756    -49.06    -34.81   0.44   0.93  -0.41  33.07  14.69
 286  4682  2770    -49.56    -33.06   0.41  -0.18   0.19   5.56   6.01
 292  4682  3439    -48.75    -34.19   0.46   0.95  -0.18  36.47   6.76
 297  4795  2565    -50.25    -32.88   0.42  -0.92   0.14  30.29   4.60
 309  4909  2471    -48.56    -33.19   0.46   0.76  -0.28  29.42  10.84
 310  4909  2582    -48.88    -32.94   0.43   0.44   0.09  15.21   3.14
 322  5022  2488    -50.12    -32.62   0.47  -0.81   0.30  32.64  12.27
 330  5022  3380    -50.19    -34.00   0.47  -0.64  -0.07  25.50   2.81
 332  5022  3603    -50.06    -34.81   0.57  -0.38  -0.62  21.74  35.63
 343  5136  3398    -50.75    -34.12   0.52  -1.22  -0.17  59.01   8.39
 356  5249  3415    -49.94    -33.94   0.47  -0.43   0.02  17.38   0.90
 359  5249  3750    -47.75    -33.94   0.56   1.95   0.43 110.10  24.05
 360  5363  2429    -49.88    -32.69   0.60  -0.56   0.15  38.10  10.31
 361  5363  2541    -49.88    -32.69   0.49  -0.57   0.27  24.94  11.93
 369  5363  3433    -50.25    -34.12   0.47  -0.77  -0.14  30.72   5.60
 381  5476  3339    -48.50    -33.25   0.44   0.92   0.62  32.66  21.94
 383  5476  3562    -48.38    -34.31   0.53   1.13  -0.18  56.77   8.96
 385  5476  3785    -48.38    -34.12   0.52   1.26   0.28  61.49  13.84
 396  5590  3579    -50.25    -34.12   0.46  -0.76   0.03  29.44   1.12
 406  5703  3262    -51.69    -32.62   0.50  -2.34   1.15 105.51  51.70
 409  5703  3597    -52.12    -34.12   0.49  -2.66   0.05 115.04   2.10
 419  5817  3280    -47.94    -33.06   0.47   1.39   0.73  55.75  29.19
 422  5817  3614    -48.38    -34.69   0.52   1.06  -0.50  51.21  24.36
 427  5930  2740    -52.38    -33.31   0.47  -3.09  -0.15 123.95   5.88
 430  5930  3074    -48.31    -33.44   0.42   0.97   0.10  31.95   3.43
 431  5930  3186    -48.94    -33.25   0.46   0.35   0.42  13.67  16.40
 435  5930  3632    -49.31    -34.19   0.44   0.10   0.02   3.68   0.63
 440  6044  2757    -49.69    -33.19   0.56  -0.40  -0.01  22.62   0.58
 444  6044  3203    -50.31    -34.06   0.47  -1.03  -0.37  41.31  14.75
 448  6044  3649    -50.12    -34.81   0.43  -0.73  -0.58  25.05  19.97
 457  6157  3221    -49.62    -33.44   0.45  -0.35   0.27  13.05  10.10
 475  6271  3796    -48.44    -34.31   0.53   0.94   0.10  48.20   4.98
